epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2755,0.91398,2.33734,1.19943,0.97727,0.30474,0.42868,0.36137,0.79789,2.31397,1.17115,0.00030006,0.00030006,0.00030006
2,174.067,0.76399,1.22979,1.08797,0.97445,0.38943,0.45251,0.37269,0.86675,1.90973,1.14864,0.000604578,0.000604578,0.000604578
3,258.913,0.71956,1.10521,1.06735,0.97986,0.34583,0.44926,0.39227,0.78214,2.09259,1.15431,0.000896553,0.000896553,0.000896553
4,346.444,0.73615,1.0947,1.07317,0.97325,0.43065,0.46546,0.40917,0.75986,1.70723,1.14348,0.00117599,0.00117599,0.00117599
5,433.161,0.69538,0.98055,1.04475,0.9703,0.45979,0.46913,0.42281,0.70557,1.58236,1.10842,0.00144288,0.00144288,0.00144288
6,521.894,0.71757,0.98257,1.0601,0.97116,0.47097,0.46863,0.42586,0.66964,1.36947,1.08218,0.00150197,0.00150197,0.00150197
7,609.367,0.73544,0.9729,1.06673,0.96806,0.47275,0.47507,0.42255,0.69119,1.07372,1.07007,0.00146896,0.00146896,0.00146896
8,697.344,0.6373,0.86348,1.00637,0.95691,0.47097,0.46971,0.4211,0.72866,1.13458,1.09913,0.00143595,0.00143595,0.00143595
9,783.237,0.67853,0.90839,1.05654,0.46441,0.46613,0.46816,0.41624,0.72851,1.11112,1.11033,0.00140295,0.00140295,0.00140295
10,861.818,0.66763,0.90271,1.03863,0.46701,0.46774,0.4748,0.43144,0.61853,1.00411,1.046,0.00136994,0.00136994,0.00136994
11,939.769,0.64992,0.88207,1.02682,0.62035,0.48104,0.48066,0.42634,0.69873,1.01235,1.08065,0.00133693,0.00133693,0.00133693
12,1016.9,0.64775,0.84583,1.02085,0.68911,0.47926,0.48395,0.43712,0.65352,0.96019,1.07612,0.00130393,0.00130393,0.00130393
13,1095.91,0.63485,0.85975,1.02515,0.50934,0.48266,0.47832,0.4371,0.65833,0.94489,1.07329,0.00127092,0.00127092,0.00127092
14,1173.98,0.63854,0.85746,1.03404,0.58607,0.48427,0.4818,0.44324,0.63195,0.89568,1.06898,0.00123791,0.00123791,0.00123791
15,1249.82,0.66522,0.87351,1.0626,0.89765,0.47943,0.48289,0.43904,0.63686,0.90481,1.04687,0.00120491,0.00120491,0.00120491
16,1332.32,0.63225,0.80373,1.02552,0.69295,0.48104,0.48235,0.43677,0.6343,0.88612,1.05213,0.0011719,0.0011719,0.0011719
