epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.071,0.87463,1.93422,1.1945,0.89489,0.4462,0.45251,0.40957,0.71172,2.23557,1.17044,0.00030006,0.00030006,0.00030006
2,341.635,0.68777,0.97264,1.0641,0.63486,0.4741,0.47692,0.38953,0.87818,1.10045,1.23033,0.000604578,0.000604578,0.000604578
3,511.128,0.66944,0.84775,1.04917,0.44574,0.42829,0.43391,0.38432,0.70515,1.32759,1.17102,0.000896553,0.000896553,0.000896553
4,680.97,0.69509,0.76027,1.03872,0.44864,0.43563,0.42665,0.3639,0.80067,1.18098,1.29613,0.00117599,0.00117599,0.00117599
5,852.072,0.69284,0.75039,1.04715,0.80377,0.49542,0.56037,0.45911,0.76961,0.98794,1.21517,0.00144288,0.00144288,0.00144288
6,1029.81,0.72972,0.70791,1.06236,0.82788,0.55063,0.6004,0.50375,0.6882,0.90432,1.14167,0.00150197,0.00150197,0.00150197
7,1197.5,0.72325,0.76506,1.0606,0.75937,0.58691,0.60629,0.49784,0.69483,0.93701,1.11227,0.00146896,0.00146896,0.00146896
8,1366.88,0.62056,0.61832,1.0104,0.60986,0.54122,0.53414,0.44666,0.78235,0.91496,1.15102,0.00143595,0.00143595,0.00143595
9,1536.95,0.64428,0.64089,1.02556,0.624,0.59556,0.57961,0.4867,0.69607,1.28607,1.13686,0.00140295,0.00140295,0.00140295
10,1704.49,0.62264,0.65421,1.01699,0.58528,0.5373,0.51251,0.4508,0.67602,1.24312,1.13692,0.00136994,0.00136994,0.00136994
11,1873.92,0.629,0.62326,1.02132,0.7038,0.59086,0.52922,0.42926,0.69488,1.32381,1.11891,0.00133693,0.00133693,0.00133693
12,2043.07,0.62048,0.59514,1.00665,0.85768,0.69912,0.73296,0.61405,0.61115,0.6282,1.06237,0.00130393,0.00130393,0.00130393
13,2213.07,0.57711,0.56353,0.99939,0.83796,0.68571,0.71165,0.60635,0.5995,0.60315,1.05679,0.00127092,0.00127092,0.00127092
14,2382.69,0.61907,0.6105,1.02277,0.83833,0.73359,0.74242,0.60792,0.66129,0.60331,1.09525,0.00123791,0.00123791,0.00123791
15,2551.34,0.63247,0.59402,1.03957,0.91579,0.69185,0.72442,0.60202,0.62118,0.60358,1.06644,0.00120491,0.00120491,0.00120491
16,2722.52,0.61147,0.55096,1.023,0.83022,0.70078,0.69812,0.58513,0.6311,0.63604,1.05509,0.0011719,0.0011719,0.0011719
17,2891.12,0.61344,0.56237,0.99988,0.82093,0.74176,0.74149,0.61998,0.59769,0.56365,1.05038,0.00113889,0.00113889,0.00113889
18,3061.49,0.55321,0.49541,0.99476,0.86833,0.70203,0.73998,0.61426,0.57768,0.54398,1.0417,0.00110589,0.00110589,0.00110589
19,3233.5,0.57992,0.5504,1.00326,0.81766,0.70616,0.74133,0.62231,0.5807,0.55908,1.04446,0.00107288,0.00107288,0.00107288
20,3406.1,0.57554,0.5802,1.01799,0.86562,0.7186,0.76918,0.64063,0.58916,0.52051,1.0423,0.00103987,0.00103987,0.00103987
21,3580.29,0.56402,0.51083,0.97496,0.83995,0.71593,0.76074,0.64578,0.57524,0.53579,1.03454,0.00100687,0.00100687,0.00100687
22,3753.64,0.56648,0.51762,1.00489,0.86536,0.72987,0.75567,0.64399,0.57954,0.54084,1.03317,0.000973861,0.000973861,0.000973861
23,3926.42,0.52272,0.48311,0.96175,0.93781,0.68146,0.74623,0.64231,0.54153,0.49806,1.02242,0.000940855,0.000940855,0.000940855
24,4108.85,0.51771,0.47138,0.97051,0.90121,0.69912,0.75459,0.64068,0.58336,0.49609,1.03694,0.000907848,0.000907848,0.000907848
25,4288.91,0.50844,0.45017,0.95055,0.90176,0.70969,0.75666,0.64203,0.5886,0.55408,1.04249,0.000874842,0.000874842,0.000874842
26,4469.4,0.51293,0.44335,0.94566,0.8703,0.72081,0.76754,0.65348,0.59009,0.55033,1.03341,0.000841835,0.000841835,0.000841835
27,4653.41,0.53553,0.48236,0.983,0.88994,0.70228,0.75207,0.63795,0.57254,0.51047,1.02321,0.000808828,0.000808828,0.000808828
28,4833.75,0.5165,0.43408,0.94321,0.7824,0.73926,0.74211,0.64768,0.55799,0.51525,1.02605,0.000775822,0.000775822,0.000775822
29,5012.78,0.51847,0.46024,0.95312,0.86398,0.71564,0.76668,0.66447,0.55341,0.48306,1.01336,0.000742815,0.000742815,0.000742815
30,5195.85,0.53939,0.46027,0.96566,0.85565,0.73657,0.76805,0.66441,0.56203,0.48545,1.02265,0.000709809,0.000709809,0.000709809
31,5378.22,0.50207,0.42779,0.96023,0.88903,0.73176,0.76637,0.65089,0.54888,0.53581,1.01432,0.000676802,0.000676802,0.000676802
32,5552.59,0.51736,0.43052,0.97843,0.87173,0.73176,0.76632,0.65229,0.53312,0.50539,1.01181,0.000643795,0.000643795,0.000643795
33,5723.59,0.50491,0.44254,0.96375,0.93149,0.70945,0.7688,0.67378,0.52785,0.4738,1.00628,0.000610789,0.000610789,0.000610789
34,5895.23,0.48346,0.38912,0.93678,0.86502,0.74865,0.76994,0.67459,0.51907,0.47159,0.99874,0.000577782,0.000577782,0.000577782
35,6075.67,0.49578,0.4298,0.9695,0.90841,0.73992,0.77578,0.66838,0.53747,0.46848,1.00335,0.000544776,0.000544776,0.000544776
36,6253.88,0.50736,0.41086,0.95216,0.87299,0.7596,0.78062,0.67729,0.52992,0.45422,0.99498,0.000511769,0.000511769,0.000511769
37,6428.4,0.46806,0.37376,0.92119,0.8586,0.76425,0.77963,0.68004,0.51308,0.44662,0.99431,0.000478762,0.000478762,0.000478762
38,6601.67,0.47168,0.36407,0.9429,0.80755,0.7744,0.77608,0.66897,0.54139,0.4613,1.00679,0.000445756,0.000445756,0.000445756
39,6775.25,0.46768,0.38698,0.93743,0.87622,0.74587,0.77888,0.68112,0.50582,0.43961,0.99826,0.000412749,0.000412749,0.000412749
40,7069.7,0.49897,0.41976,0.95351,0.89642,0.75808,0.78717,0.68787,0.50097,0.41401,0.98962,0.000379743,0.000379743,0.000379743
41,7241.39,0.42001,0.33648,0.9259,0.84519,0.77282,0.78284,0.6801,0.50813,0.42806,0.98653,0.000346736,0.000346736,0.000346736
42,7410.52,0.43429,0.36274,0.91321,0.85126,0.7564,0.78168,0.67981,0.49934,0.43585,0.97936,0.000313729,0.000313729,0.000313729
43,7580.76,0.4288,0.35196,0.92545,0.85774,0.78598,0.78988,0.69133,0.51584,0.43655,0.98572,0.000280723,0.000280723,0.000280723
44,7753.11,0.41872,0.33006,0.92289,0.87659,0.79364,0.7921,0.6901,0.4969,0.4095,0.97469,0.000247716,0.000247716,0.000247716
45,7925.97,0.41413,0.34175,0.9253,0.8802,0.77753,0.79416,0.68885,0.51685,0.40502,0.97798,0.00021471,0.00021471,0.00021471
46,8751.66,0.41999,0.32477,0.92819,0.86098,0.77902,0.79386,0.68528,0.50042,0.40556,0.97671,0.000181703,0.000181703,0.000181703
47,10094.6,0.39811,0.296,0.90651,0.86247,0.76686,0.79121,0.68901,0.47462,0.41392,0.97125,0.000148696,0.000148696,0.000148696
48,10260.7,0.39586,0.30601,0.9128,0.8472,0.76742,0.79021,0.68945,0.47604,0.41046,0.96695,0.00011569,0.00011569,0.00011569
49,10430.9,0.38599,0.28587,0.89472,0.87697,0.75693,0.78286,0.68291,0.49356,0.40751,0.96836,8.26832e-05,8.26832e-05,8.26832e-05
50,10601,0.38246,0.28711,0.89963,0.87985,0.7515,0.78498,0.68395,0.4954,0.40672,0.96973,4.96766e-05,4.96766e-05,4.96766e-05
